url,page_type,current_primary_intent,target_query_or_need,gsc_or_other_evidence,action,reason,title_or_snippet_hypothesis,content_evidence_gap,technical_issue,internal_link_sources,internal_link_targets,conversion_next_step,priority,owner,acceptance_test,review_at_days
https://www.accumeasuretech.com,Homepage,"Evaluate AccuMeasure as a level/flow/pressure supplier and choose an entry path","AccuMeasure level/flow/pressure manufacturer; RFQ from factory","GSC 28d: 43 impressions, 1 click, avg 6.0; live analytics absent",KEEP,"Visible brand entry page; prioritize analytics and evidence before changing page narrative","Keep title; test evidence-led section or CTA only after consented analytics baseline","Factory/certificate/customer evidence lacks approved asset IDs","None","/products|/certificates|/quality|/case-studies","/products|/certificates|/quality|/case-studies|/contact|/customization","Primary path to product category then RFQ; track contact_click and page_view",P1,"Content/SEO","28-day GSC clicks/CTR stable or better; analytics page_view and CTA events visible",30
https://www.accumeasuretech.com/products,Product category listing,"Browse all measurement instrument categories","Level/flow/pressure sensor manufacturer catalog","GSC 28d: 70 impressions, 0 clicks, avg 48.4; no analytics",KEEP,"Useful entry page; no evidence of template failure","Keep current title; category pages carry user path rather than snippet test","None material; product images are unreviewed","None","/products/level|/products/flow|/products/pressure","/products/level|/products/flow|/products/pressure","Choose category then RFQ; track category clicks",P2,"Content/Dev","SEO CI passes; category clicks measurable after analytics",60
https://www.accumeasuretech.com/products/level,Product category,"Select a level sensor type and shortlist models","Radar/ultrasonic/capacitive level sensor manufacturer","GSC 28d: 21 impressions, 0 clicks, avg 37.2; internal-link counts show weak paths",KEEP,"Category page works but needs semantic links to decision content","Keep title; add decision-path links and measure one refresh variable","Product certificate scope and calibration evidence pending","None","/products|/applications|/blog|/compare","/blog/how-to-choose-radar-level-sensor|/applications/radar-vs-ultrasonic-level-sensor|/applications/radar-level-sensor-for-oil-tank","Select sensor type then RFQ",P2,"Content/SEO","Added in-body links verified; npm run verify passes; 28-day GSC reviewed",60
https://www.accumeasuretech.com/products/flow,Product category,"Choose a flow meter type for water/industrial/hazardous applications","electronic flowmeters; non-contact flow meter; explosion proof/ATEX flow meter; portable mass flow meter","GSC 28d: 267 impressions, 0 clicks, avg 66.7; query cluster evidence in Section 6.4",UPDATE,"High exposure with low clicks and observable query clusters not cleanly answered","Local title experiment: Flow Meter Manufacturer: Electromagnetic, Ultrasonic, Non-Contact ATEX; verify direct answers and certifications after deploy","ATEX/explosion-proof certificate scope and product-level evidence missing","None","/products|/applications|/blog|/compare","/applications/electromagnetic-flow-meter-for-water-treatment|/compare/electromagnetic-vs-ultrasonic-flow-meter|/products/am-mf50-mass-flow-meter|/products/am-emf100-electromagnetic-flow-meter","Add direct answers then RFQ; track document/product inquiry",P2,"Content/SEO","28-day CTR/position improves; no duplicate flow URLs; flow inquiry event measurable",60
https://www.accumeasuretech.com/products/pressure,Product category,"Choose pressure transmitter or gauge for OEM/process applications","pressure transmitter selection; ex certified pressure gauge","GSC 28d: 59 impressions, 1 click, avg 48.7",KEEP,"Relevant commercial category; no clear template failure","Keep title; add internal guide path and revisit after GSC baseline","Certificate scope for ATEX/ex-certified variants pending","None","/products|/applications|/blog","/blog/pressure-transmitter-selection-guide|/applications/pressure-transmitter-for-oem-equipment|/products/am-pt300-pressure-transmitter","Select pressure product then RFQ",P2,"Content/SEO","Added guide/application links; 28-day GSC reviewed",60
https://www.accumeasuretech.com/products/am-cl100-capacitive-level-sensor,Product detail,"Evaluate AM-CL100 for conductive/non-conductive level applications","capacitive level sensor manufacturer","No GSC row in 28d export; image evidence unreviewed",KEEP,"Structurally valid product page; no demand evidence yet for a rewrite","Keep current title; wait for GSC/inquiry evidence before snippet experiment","Certificate scans, calibration sample and approved image evidence pending","None","/products/level|/applications|/compare","/contact|/customization","Product RFQ or document request",P3,"Content/SEO","Evidence manifest approval recorded; no duplicate/conflicting product copy",60
https://www.accumeasuretech.com/products/am-rl80-80ghz-radar-level-transmitter,Product detail,"Evaluate AM-RL80 for tank/silo radar level measurement and request quote","80GHz radar level transmitter; radar level sensor manufacturer","GSC 28d: 13 impressions, 0 clicks, avg 4.8; near-win",UPDATE,"Already visible near top but no clicks; needs evidence and task-specific detail","Keep strong product title; test snippet variant referencing certificate/install evidence","ATEX/IECEx certificate scan, installation parameter table, test record and approved images missing","None","/products/level|/blog/how-to-choose-radar-level-sensor|/applications/radar-level-sensor-for-oil-tank","/blog/how-to-choose-radar-level-sensor|/applications/radar-level-sensor-for-oil-tank|/certificates","RFQ or document request; track contact_click/generate_lead",P1,"Content/SEO + Marketing","Approved evidence added; 30-day click/CTR; 60-day product inquiry event",30
https://www.accumeasuretech.com/products/am-ul20-ultrasonic-level-sensor,Product detail,"Evaluate AM-UL20 for non-contact ultrasonic level applications","ultrasonic level sensor manufacturer","No GSC row in 28d export; image evidence unreviewed",KEEP,"Structurally valid product page; no demand evidence yet for a rewrite","Keep current title; wait for GSC/inquiry evidence","Certificate and approved image evidence pending","None","/products/level|/applications|/compare","/contact|/customization","Product RFQ or document request",P3,"Content/SEO","Evidence manifest approval recorded; no duplicate product copy",60
https://www.accumeasuretech.com/products/am-wl50-iot-wifi-level-sensor,Product detail,"Evaluate AM-WL50 for IoT/wireless level monitoring","IoT wifi level sensor; wireless tank level monitoring","No GSC row in 28d export; image evidence unreviewed",KEEP,"Structurally valid product page; no demand evidence yet for a rewrite","Keep current title; wait for GSC/inquiry evidence","Certification/connectivity documentation and approved image evidence pending","None","/products/level|/applications","/contact|/customization","Product RFQ or document request",P3,"Content/SEO","Evidence manifest approval recorded; no duplicate product copy",60
https://www.accumeasuretech.com/products/am-emf100-electromagnetic-flow-meter,Product detail,"Evaluate AM-EMF100 for conductive water/wastewater flow measurement","electromagnetic flow meter manufacturer; ATEX flow meter","GSC flow cluster includes explosion proof/ATEX flow meter; /applications/electromagnetic-flow-meter-for-water-treatment has weak internal links",UPDATE,"Flow query cluster and ATEX scope need direct product-level evidence and links","Keep strong product title; test snippet variant stating size/accuracy/certification scope","ATEX/CE certificate scan, product-level scope and approved image evidence pending","None","/products/flow|/applications/electromagnetic-flow-meter-for-water-treatment|/compare/electromagnetic-vs-ultrasonic-flow-meter","/compare/electromagnetic-vs-ultrasonic-flow-meter|/certificates|/contact","RFQ or document request",P2,"Content/SEO + Marketing","Certificate scope verified; flow page links in-body; 28-day GSC reviewed",60
