id,priority,category,finding_type,observation,evidence,evidence_grade,affected_scope,business_impact,impact_score,confidence,effort,risk,recommended_action,owner,dependencies,acceptance_test,rollback,review_at_days,status
B001,P0,Measurement and analytics,OBSERVATION,"Live homepage HTML does not load gtag GA4 or Clarity; source helpers only emit after analytics initialization and no CRM/revenue dataset is available.","2026-08-10 live HTML; src/components/analytics.tsx; src/lib/analytics.ts; report Sections 3 6.4 and 12",A,"All public landing pages and conversion paths","Search clicks cannot be connected to CTA form qualified lead quote order or retention.",5,high,M,medium,"Define KPI/event dictionary and consent policy; configure approved analytics in preview; validate single page_view landing/source persistence contact_click generate_lead and document_request before production.","Marketing + Dev + Legal","GA4 property; privacy and consent decision; event ownership","Preview DebugView and network checks show no duplicate events; non-essential events respect consent; internal submission can be joined to backend accepted state and documented lead definition","Disable analytics environment variables or restore the analytics component while keeping business forms available",30,OPEN
B002,P0,Lead delivery,OBSERVATION,"Inquiry API returns 503 when neither Resend nor webhook accepts a lead; production delivery credentials inbox receipt and CRM persistence cannot be verified anonymously.","src/app/api/inquiry/route.ts; 2026-08-10 invalid-only production smoke returned 422 for empty JSON and 400 for malformed body; no real inquiry submitted",A,"/contact and /customization forms and every RFQ CTA","A user can see a form but successful commercial delivery is not yet proven end to end.",5,high,S,medium,"Use an authorized internal test identity to verify valid submit API acceptance email or webhook delivery CRM record retry and failure UI; add a shared request ID to the operational check without exposing secrets.","Dev + Operations","Production Resend/webhook/CRM read access; authorized internal test address","One internal test appears in the intended inbox/webhook/CRM with the same request context; invalid and honeypot requests do not create leads; failure never renders success","Restore previous route or environment values and disable the failing delivery target",30,OPEN
B003,P1,Evidence and trust,OBSERVATION,"Evidence manifest contains three unreviewed image groups and the local claim-to-evidence matrix contains 14 pending unapproved certificate test factory customer and project claims.","docs/seo-growth-system/evidence-manifest.csv; docs/seo-growth-system/claim-to-evidence-matrix.csv; 2026-08-10 evidence validator validated structure only",A,"/certificates /quality /about /industries /customization product claims and three case studies","Unsupported high-risk claims weaken B2B trust and make content assets unsafe to promote or cite.",5,high,L,medium,"For every public strong claim add source date scope authorization redaction owner and approved asset ID; otherwise weaken or remove it before the next page refresh.","Operations + Engineering + Marketing","Original certificate scans SOP records customer authorization legal review and redaction","Every public quantified customer certificate or test claim maps to an approved asset ID or has been weakened/removed; certificate scope matches exact models and validity","Withdraw unapproved assets and restore the last approved conservative copy",30,OPEN
B004,P1,Indexing and discovery,OBSERVATION,"Home and /products/flow are submitted and indexed but /applications is unknown to Google and /contact is crawled-currently-not-indexed; sitemap API indexed count conflicts with inspection evidence.","GSC URL Inspection on 2026-08-10: home last crawl 2026-07-25; flow 2026-07-29; applications unknown; contact last crawl 2026-07-15; sitemap 39 submitted indexed 0",A,"39 sitemap URLs with priority on /applications /contact category pages and core products","An undiscovered application hub limits discovery paths while incorrect interpretation of sitemap counts could trigger unnecessary changes.",4,high,S,low,"Export current Pages and Sitemaps reasons; inspect ten priority URLs; review rendered content canonical and referring links; fix only the confirmed cause and let the owner consider manual inspection after substantive updates.","SEO + Owner","GSC Pages/Inspection access; approved page evidence","Priority URL table records verdict reason canonical last crawl referring pages and action; no bulk request indexing; applications is either discovered/indexed or has a documented non-technical reason","Read-only diagnosis needs no rollback; revert any later page/link batch independently",30,OPEN
B005,P1,Near-win refresh,RECOMMENDATION,"Certificates quality homepage and case-study pages have small but commercially relevant visibility while several have zero clicks; their strongest gap is evidence rather than page count.","GSC 2026-07-12..2026-08-08: /certificates 29/0/8.07; home 24/1/8.04; /case-studies 17/0/10.29; /quality 14/0/6.00; report Sections 6.2 and 8",A,"/certificates /quality /case-studies and approved case/product/guide candidates","A controlled evidence-led refresh can improve task fit on pages already visible without creating duplicate URLs.",4,medium,M,low,"After B003 approve one page batch at a time; record fixed SERP current 28/90 baseline retain/add/remove/do-not-change fields one title/snippet hypothesis CTA event and 30/60/90 review.","Content + SEO","B003 approved evidence; current SERP snapshot; B001 measurement for conversion conclusions","Page brief is complete; substantive facts are approved; one major hypothesis changed; 30-day GSC and 60/90-day qualified-lead review decides keep iterate or rollback","Revert the page-specific Git/CMS revision and restore previous metadata/content",30,BLOCKED_BY_EVIDENCE
B006,P2,Flow demand mapping,INFERENCE,"The flow category receives 441 impressions at average position 64.59 and maps to broad ATEX explosion-proof non-contact and portable mass queries; low position suggests relevance/supply mismatch more than a snippet-only CTR issue.","GSC 2026-07-12..2026-08-08 page and query dimensions; report Sections 6.2 6.3 and 7",A,"/products/flow AM-EMF100 AM-UF200 AM-MF50 and related comparisons","Flow is a core commercial category but chasing unsupported capabilities could create misleading thin pages.",4,medium,M,low,"Validate each query against actual product capability and a fixed US-English SERP; improve one existing category/product decision path; do not create ATEX portable or non-contact URLs unless distinct product evidence and intent justify them.","Content + Engineering + SEO","Product capability confirmation; certificate scope; SERP snapshot","Each target query maps to one truthful URL; no duplicate thin URL; 28-day query coverage and 60-day product inquiry are reviewed","Restore prior category copy and internal links from Git",60,OPEN
B007,P2,Information architecture,RECOMMENDATION,"SEO CI finds no orphan pages but deep application and guide pages have fewer contextual entry points than category and product pages.","2026-08-10 npm run verify passed; report Section 9; existing build-time internal-link observations",A,"Level flow pressure categories; product details; four applications; priority guides and cases","Better task-based paths can improve discovery and help buyers move from selection to evidence and RFQ.",3,high,S,low,"Add semantic in-body links only where source context answers the next user task; connect category to guide product to application evidence to product and approved case to RFQ.","Content + Dev","Page priority and approved evidence where claims are involved","Each priority target gains at least one relevant in-body anchor; target is 200/self-canonical; npm run verify and mobile smoke pass","Remove the added links with a page-specific Git revert",60,OPEN
B008,P2,Controlled documents,RECOMMENDATION,"Resources and certificates expose document-request intent but no approved public datasheet certificate or manual asset set is confirmed.","/resources and /certificates live review; evidence manifest; report Sections 7 10 and 12",A,"Resources certificates AM-RL80 AM-EMF100 and document-request funnel","Real controlled documents can improve buyer confidence and generate qualified specification requests; placeholders would damage trust.",4,high,M,medium,"Create engineering-approved revisioned AM-RL80 and AM-EMF100 datasheets or keep an explicit controlled-request workflow; record source product and delivery event.","Engineering + Marketing","Approved specifications; document owner/revision; B001/B002","Every published file opens and matches approved source data revision and model; document_request and delivered state are measurable; no placeholder links","Withdraw the file/link and restore controlled-request copy",60,OPEN
B009,P2,Performance and mobile UX,RECOMMENDATION,"Fixed mobile Lighthouse lab scores are 85-90 performance and show about 21-24 KiB unused JavaScript; no CrUX p75 field data is available.","2026-08-09 Lighthouse lab for home AM-RL80 and contact; PSI API 429 with quota limit 0 on 2026-08-10",B,"Homepage product detail and contact templates","Performance is not the primary blocker but mobile conversion controls must remain stable while scripts are added or reduced.",2,medium,M,low,"After analytics work run bundle analysis and remove low-value client JavaScript; manually test navigation filters WhatsApp phone document request form errors and success on narrow screens.","Dev + QA","Stable analytics implementation; fixed Lighthouse configuration","No regression in fixed lab metrics; all mobile tasks remain visible clickable and non-overlapping; field CWV is reported only when available","Revert the code-splitting or client-component change",60,OPEN
B010,P2,Structured data policy,OBSERVATION,"FAQPage schema validates locally but Google removed FAQ rich results in 2026; schema validity does not guarantee search appearance.","2026-08-10 schema CI: 180 blocks 0 errors; Google Search documentation update removing FAQ rich result",A,"Templates with FAQPage JSON-LD","Avoids investing in FAQ expansion for a result type that is no longer shown.",2,high,S,low,"Keep FAQ markup only where visible accurate FAQs help users; remove any rich-result promises and do not create FAQs solely for schema.","Content + SEO","None","Visible FAQ and JSON-LD remain equivalent; schema CI passes; reporting contains no FAQ rich-result forecast","Remove FAQ markup if corresponding visible content is removed",60,OPEN
