id,priority,category,finding_type,observation,evidence,evidence_grade,affected_scope,business_impact,impact_score,confidence,effort,risk,recommended_action,owner,dependencies,acceptance_test,rollback,review_at_days,status
B001,P0,Measurement and analytics,OBSERVATION,"Live homepage and sampled pages do not load gtag/Clarity; Analytics component renders only when NEXT_PUBLIC_GA_ID / NEXT_PUBLIC_CLARITY_ID are set, and those env vars are not observable from public HTML. The codebase now defines document_request events but they only fire after GA4 initialization.","2026-08-09 live HTML check; src/components/analytics.tsx:8-40; src/lib/analytics.ts",A,All public pages,"Cannot measure SEO sessions, CTA clicks, form submissions, conversions or search-to-revenue attribution; key reporting baseline absent.",5,high,M,low,"Define KPI and event dictionary, approve privacy/consent, install and verify analytics, then validate page_view/contact_click/generate_lead/document_request in preview before production.","Marketing + Dev + Legal","Privacy/consent decision; analytics property and event schema","Preview analytics debug view shows expected events; production only collects consented non-essential data; event names and lead definitions match report Section 3.2","Disable NEXT_PUBLIC_GA_ID and NEXT_PUBLIC_CLARITY_ID env vars to stop loading; no business logic touched",30,OPEN
B002,P0,Lead delivery,OBSERVATION,"Inquiry route returns HTTP 503 only when neither Resend email nor LEAD_WEBHOOK_URL accepted a lead; production env configuration cannot be verified from public HTML.","src/app/api/inquiry/route.ts:52-118,182-196",A,"/contact and /customization forms","A valid RFQ could be unreachable or force users to WhatsApp if production delivery is unconfigured; no proof of lead capture.",5,high,S,medium,"Verify production RESEND_API_KEY, EMAIL_TO, MX, EMAIL_FROM, LEAD_WEBHOOK_URL and end-to-end delivery with internal test email; fix only in implementation mode after authorization.","Dev/Operations","Production credentials; authorized test email","Internal test lead appears in inbox/webhook and backend logs; invalid or honeypot submissions do not enter CRM; user-facing success message only after confirmed delivery","Restore or remove env vars, or rollback route; frontend remains unaffected",30,OPEN
B003,P1,Measurement and data quality,OBSERVATION,"Old GSC exports are internally inconsistent: 28-day page dimension shows 3 clicks/821 impressions, date dimension 3/529, query dimension 0/298; files have no metadata or total export.","reports/gsc/*.json mtime 2026-07-25; report Section 6.1",B,"All GSC baselines and page action plans","Cannot trust current CTR, position or trend baselines; risk of optimizing on conflicting evidence.",4,high,S,low,"Export current GSC 28/90-day, prior equal windows and 16-month data by page/query/country/device; reconcile totals before using as baseline.","Owner/SEO","GSC access; export metadata","New exports total consistently across dimensions; each page action plan has a verified baseline","No rollback needed; retain old exports as historical evidence",30,OPEN
B004,P1,Indexing and URL Inspection,OBSERVATION,"GSC sitemap export says submitted 39, indexed 0, errors/warnings 0; current URL Inspection is unavailable, and old docs list /applications as unknown to Google and /contact as crawled-not-indexed.","reports/gsc/sitemaps.json; 2026-07-24 docs; report Section 5.2",B,"39 sitemap URLs, especially /, /contact, /applications, /products/flow, AM-RL80","If real indexing problems exist, all search work is capped before clicks and conversions can grow.",4,high,S,low,"Get current GSC Pages, Indexing, Sitemaps and URL Inspection snapshots for priority URLs; only request indexing after substantive page updates and only when URL Inspection indicates it.","Owner/SEO","GSC access","Current indexed status and inspection reasons recorded for priority URLs; no bulk request-indexing actions","None; read-only data collection",30,OPEN
B005,P1,Evidence and trust,OBSERVATION,"Evidence manifest contains only 3 unreviewed image asset groups, while public pages make strong claims about certificates, customers, project volume, factory process and performance. A 14-row claim-to-evidence matrix was added locally on 2026-08-09, but all claims remain pending approval.","docs/seo-growth-system/evidence-manifest.csv; docs/seo-growth-system/claim-to-evidence-matrix.csv; src/lib/case-studies.ts; src/app/about/page.tsx; src/app/quality/page.tsx; src/app/customization/page.tsx; src/app/industries/page.tsx; report Section 10.1",A/B,"Certificates, quality, about, industries, customization and all case studies","Unsupported trust claims can damage B2B conversion, brand credibility, AI citation and future editorial distribution; a few pages already rank near position 3-8 with 0 clicks.",5,high,L,medium,"Approve or upload evidence assets for the 14 matrix claims, or weaken unsupported public claims to verifiable process language before next refresh.","Marketing/Operations","Real certificate scans, factory photos, customer authorization and legal review","100% public quantified/client/certificate/test claims have approved asset IDs; no approved-but-missing evidence remains in live copy","Restore previous copy or remove unreviewed evidence assets",30,PARTIAL_LOCAL
B006,P1,Near-win page refresh,RECOMMENDATION,"Several pages already receive limited GSC exposure at average position 3.1-6.2 but 0 clicks; they need content/evidence refresh rather than new page creation.","GSC 28d page export: /certificates 25/0/5.8, radar guide 27/0/4.6, Saudi case 20/0/5.3, AM-PG200 14/0/3.1, AM-RL80 13/0/4.8, /quality 16/0/6.2",B,"6 priority URLs plus their product/template neighbors","Small click gains on already-visible commercial/information pages are the highest near-term opportunity.",4,high,M,low,"Refresh one hypothesis per URL: certificate verification evidence, radar decision table/install diagram, authorized Saudi case evidence, AM-RL80 certificate/install data, AM-PG200 OEM/calibration evidence, and quality process evidence.","Content/SEO + Marketing","Approved evidence package; verified GSC baseline","30-day GSC CTR/click baseline improves or position is maintained; 60-day related inquiry/document events are measurable; 90-day review decides rollback","Git revert or CMS rollback per page",30,IN_PROGRESS
B007,P2,Demand and page mapping,RECOMMENDATION,"/products/flow has 267 impressions and 0 clicks at avg position 66.7, and GSC query clusters include electronic flowmeters, non-contact flow meter, explosion proof/ATEX flow meter and portable mass flow meters. Local title experiment adds Non-Contact on 2026-08-09; direct answers and semantic links already exist on the page.","GSC 28d page/query export; report Sections 6.3-6.4, 8; src/app/products/flow/page.tsx",B,"/products/flow and flow product details","High exposure with low relevance/click suggests title/snippet intent mismatch or insufficient direct answers; flow meters are a core commercial category.",4,medium,S,low,"Deploy the local title experiment, then verify direct answers and semantic links against current GSC/SERP before deciding next change; do not create multiple URL variants.","Content/SEO","Current GSC/SERP baseline; product facts","28-day CTR/position improves; no new duplicate flow URLs; flow product and document inquiries measurable","Restore prior title/copy from git",60,PARTIAL_LOCAL
B008,P2,Internal links,RECOMMENDATION,"Application detail pages and several guides receive only 2-4 HTML internal links, while category/product pages already provide semantic context for them. Local implementation added product-detail, industry, and blog related-guide links on 2026-08-09.","Build-time link counts in report Section 9; examples: wastewater app 3, oil-tank app 3, supplier guide 2, pressure guide 2; src/app/products/[slug]/page.tsx; src/app/industries/page.tsx; src/app/blog/[slug]/page.tsx",A,"/products/flow, /products/level, /products/pressure, product details, 5 application/blog pages","Weak discovery paths reduce page value from otherwise valid content; this is low-cost and low-risk.",3,high,S,low,"Add semantic contextual links from category decision tables and product pages to existing application/guide pages; avoid exact-match link walls and unrelated sitewide links.","Content/Dev","Content priority; SEO CI as guard","Target pages gain at least one substantive in-body internal link; npm run verify still passes; anchor text matches user task","Remove added links via git revert",60,LOCAL_DONE
B009,P2,Controlled datasheet assets,RECOMMENDATION,"/resources exposes Request PDF/3D/Manual entry points but no true downloadable assets are confirmed; certificates and product pages also lack public verifiable document assets. Local implementation added controlled-document language and click/submit-level document request attribution.","src/app/resources/page.tsx; /certificates page; src/components/document-request-link.tsx; src/components/forms/inquiry-form.tsx; report Section 10.2",A/B,"Resources, certificates, product details","B2B buyers expect datasheets and certificate evidence; missing or fake downloads would hurt trust and conversion.",4,high,M,medium,"Create true PDF datasheets for AM-RL80 and AM-EMF100 from src/lib/products.ts and src/lib/facts.ts, or keep controlled documents sent only after inquiry; do not place nonexistent downloads.","Engineering/Marketing","Product data approval; PDF build/QA","Datasheets match product data; no placeholder files; document request event measured; /resources has 2-3 verified assets or explicit controlled-document language","Remove/rollback PDF assets and page changes",60,PARTIAL_LOCAL
B010,P2,Performance,RECOMMENDATION,"Lighthouse lab tests show the main opportunity is unused JavaScript estimated at 21-24 KiB on homepage, AM-RL80 and Contact; lab scores are 85-90 performance and SEO 100.","2026-08-09 Lighthouse mobile lab; report Section 5.4",A,"Homepage, product detail and contact templates","Small page weight improvement; not currently a primary growth blocker but worth doing with mobile CTA QA.",2,medium,M,low,"Reduce low-value unused JS on sampled templates while preserving form/CTA functionality; rerun fixed Lighthouse and manual mobile checks.","Dev","Design/QA; bundle analysis","Fixed Lighthouse performance does not regress; contact/WhatsApp/quote controls remain clickable on mobile; no CrUX score promise","Revert bundle/dynamic-loading change",60,OPEN
B011,P2,Structured data policy,OBSERVATION,"FAQPage schema is present across the site, but Google's current FAQ rich-result guidance limits FAQ rich results to well-known authoritative government and health sites; the site cannot rely on FAQ schema for rich results.","Google FAQPage official doc verified 2026-08-09; schema-ci 180 JSON-LD blocks 0 errors",A,"All templates using FAQ schema","Avoids wrong expectation that FAQ schema produces rich results; schema can still support page structure and AI extraction.",2,high,S,low,"Keep FAQ schema as useful structure if content remains accurate, but do not promise FAQ rich results or create FAQ content solely for that purpose.","Content/SEO","None","Public copy does not claim FAQ rich results; schema CI remains valid","Remove FAQ schema if content no longer supports it",60,OPEN
B012,P2,Canonical and language consistency,OBSERVATION,"Homepage emits hreflang en-US and x-default, while other pages emit no hreflang; the site is single-language English.","2026-08-09 HTML; report Section 5.2",A,"Homepage and all non-homepage templates","Inconsistent hreflang can confuse maintenance, but is not a current internationalization blocker.",2,high,S,low,"Document and apply one policy: either remove homepage-only hreflang for a single-language site or generate a consistent hreflang pattern across all canonical pages.","Dev/SEO","Language strategy decision","All canonical pages follow one hreflang policy; verify command still passes","Revert metadata change",60,LOCAL_DONE
B013,P3,AI search and GEO,OBSERVATION,"The repo has a 76-query GEO set and monitoring structure, but data/geo-observation-log.csv contains 0 completed rows; reports/geo/geo-observation-status.md states no observed visibility.","data/geo-query-set.csv; data/geo-observation-log.csv; report Section 13.1",A,"AI search visibility program","Cannot claim AI visibility or absence; no evidence to prioritize AI changes.",3,medium,S,low,"Manually run the first 20 high-priority queries on Perplexity, ChatGPT, Copilot and Gemini; record brand mention, cited URL, citation position, accuracy and competitors with screenshots; separate AI metrics from Google metrics.","Marketing","Manual platform access; query priority list","At least 20 logged observations with screenshots and reviewer notes; no AI visibility claim before measurement","Remove erroneous observation rows if any",30,OPEN
B014,P3,Editorial distribution,RECOMMENDATION,"No public certificate scans, datasheets, original research or tools are confirmed, so there is no evidence package ready for editorial/directory placement; brand-name confusion with another AccuMeasure entity is documented internally.","src/lib/site.ts:16-20; report Sections 10-11",B,"Brand/trust pages and external mentions","Premature link-building or directory placement could amplify an unverified brand and low-quality trust signals.",2,low,M,medium,"After evidence package is approved, manually evaluate 2-3 relevant industrial directories/association/resource pages for user value; record submission, referral visits and qualified inquiries; never buy or exchange links.","Owner/Marketing","Approved evidence package; brand/legal review","No paid/exchanged links; pilot placements are limited, logged and assessed on referral visits and inquiry quality","Remove/disable pilot placements if no value; retain audit log",90,OPEN
B015,P3,Internationalization,RECOMMENDATION,"GSC country samples are too small for internationalization: USA 349 impressions/3 clicks, Canada 59/0, Australia 18/0, UAE 5/0 and Germany 2/0.","GSC country-28d.json; report Section 13.3",B,"Any future localized pages","Premature language/country pages would add cost and duplicate content without demand evidence.",2,high,S,low,"Do not create localized or country-specific pages until qualified inquiry and revenue evidence justifies them; if demand is proven, first validate need, then handle URL/hreflang/localization/QA.","Owner","Qualified inquiry data; market decision","No new localized pages created before demand threshold; decision log records evidence","No implementation; keep single-language site",90,OPEN
B016,P2,Technical baseline,OBSERVATION,"P0 security/access checks are healthy: homepage 200, HTTPS/HSTS/security headers present, 39 sitemap URLs all return 200, 404 is noindex and robots/sitemap/canonical are valid; no malware or full-site noindex found.","2026-08-09 online checks; npm run verify; report Sections 2.3, 5.1-5.2",A,"All site templates","This is the foundation for future work and confirms no P0 sitewide blocking is present.",5,high,S,low,"Maintain monthly technical regression checks; include these checks in the re-audit checklist; do not assume they stay valid without re-running.","Dev/SEO","None","Monthly check confirms 39/39 sitemap 200, security headers and no sitewide noindex; verify command passes","No code change; baseline only",30,OPEN
B017,P2,Conversion and retention measurement,RECOMMENDATION,"Form/CTA helper functions exist for lead and contact events but depend on GA4 initialization; there is no confirmed production analytics and no CRM/revenue pipeline to connect search to outcome. Local implementation now sends document request source through the contact URL and records document_request on successful form submit when source is known.","src/lib/analytics.ts; src/components/document-request-link.tsx; src/components/forms/inquiry-form.tsx; src/app/api/inquiry/route.ts; report Sections 3, 12",A,"All natural-search landing pages and forms","Without landing-to-CTA-to-submit-to-qualified-lead-to-sale tracking, SEO optimization cannot be evaluated on business outcome.",4,high,M,medium,"After B001/B002, define and measure the funnel landing -> CTA click -> submit -> email/webhook -> qualified lead -> quote -> order -> retention; treat SEO clicks, leads, sales and retention as separate metrics.","Marketing/Dev/Operations","Analytics/consent; CRM and revenue definitions","Funnel events are visible in analytics; lead source snapshot is joined to CRM record; valid inquiry definition is documented","Disable events or revert tracking code",60,PARTIAL_LOCAL
B018,P3,Other search engines,RECOMMENDATION,"Bing/IndexNow are described as a supplementary channel in the repo, but no separate Bing query/click/index/conversion measurement exists.","docs/seo-growth-system/SEO-GROWTH-SYSTEM.md; IndexNow official doc verified 2026-08-09",B,"Bing and other search visibility","If Bing has real audience, current measurement does not isolate it; otherwise it is not worth priority.",2,medium,S,low,"After Google baseline is trustworthy, decide whether Bing has qualified demand; if yes, submit IndexNow only if technically beneficial and track Bing queries, clicks, indexing and inquiries separately from Google.","Owner/SEO","Google baseline; Bing Webmaster access","Bing data is recorded in a separate export/table; no mixed Google+Bing totals","Disable IndexNow/bing measurement if not useful",90,OPEN
