claim_id,public_location,public_claim,evidence_required,evidence_status,asset_id,source_date,owner,redaction_required,approval_status,notes
C001,/products/am-rl80-80ghz-radar-level-transmitter,"ATEX and IECEx Ex d IIC T6 explosion-proof certification","Certificate scans, exact model scope, IECEx number/issuer, validity",pending,n/a,n/a,Engineering,maybe,unapproved,"IECEx currently has no number/issuer in src/lib/certifications.ts"
C002,/certificates,"ISO 9001:2015 No. CN-2019-ISO-0347 by SGS","Official scan, issuer verification path, audit scope and validity",pending,n/a,n/a,Operations,maybe,unapproved,"Public page publishes number but no scan"
C003,/certificates,"CE Marking No. EC-1282/2023 by TUV Rheinland","Official scan, product scope, EMC/LVD declaration",pending,n/a,n/a,Engineering,maybe,unapproved,"Public page publishes number but no scan"
C004,/certificates,"ATEX No. ATEX-2022-0158 by DEKRA","Official scan, product scope, protection marking and validity",pending,n/a,n/a,Engineering,maybe,unapproved,"Public page publishes number but no scan"
C005,/quality,"72-hour aging test on every unit with 0C to 50C temperature cycling","SOP, equipment list, sample test record and audit trail",pending,n/a,n/a,Operations,maybe,unapproved,"Test claim is process-level; need documented evidence"
C006,/quality,"Calibration lab equipment and traceability claims","Equipment calibration certificates, reference standards, sample report",pending,n/a,n/a,Operations,maybe,unapproved,"GE Druck/water tower/flow rig claims need evidence"
C007,/case-studies/saudi-water-radar-level,"Saudi Water Co. cost saved 71%, 0 field failures, 18-day delivery","Customer authorization, redacted contract/order, delivery and QC records",pending,n/a,n/a,Marketing,required,unapproved,"Client name and quantitative results are strong claims"
C008,/case-studies/indonesia-pdam-electromagnetic-flow,"200 units delivered, repeat order 500, 15-day lead time","Customer authorization, order/invoice evidence, delivery records",pending,n/a,n/a,Marketing,required,unapproved,"Quantitative project claims need proof"
C009,/case-studies/brazil-integrator-oem-pressure-gauge,"OEM private-label digital pressure gauge project","Customer authorization, packaging/logo evidence, order records",pending,n/a,n/a,Marketing,required,unapproved,"OEM project claim needs proof"
C010,/about,"82 employees, 15 R&D engineers, 5 QC inspectors, facility and export claims","Company registration, employee records, factory audit evidence",pending,n/a,n/a,Operations,maybe,unapproved,"Claims are public but manifest lacks asset IDs"
C011,/customization,"Delivered customization case cards and OEM/ODM capability claims","Project records, customer authorization, sample packaging/process photos",pending,n/a,n/a,Engineering,required,unapproved,"Case cards currently lack approved evidence"
C012,/industries,"Industry volume, project and capability claims","Customer/project evidence, approved case studies, factory/process photos",pending,n/a,n/a,Marketing,maybe,unapproved,"Industry page claims need claim-to-evidence review"
C013,/certificates,"IECEx Ex d IIC T6 listed for AM-RL80","Official IECEx certificate scan, number, issuer, product scope and validity",pending,n/a,n/a,Engineering,maybe,unapproved,"Public page already states number/issuer are not published"
C014,/certificates,"FCC Part 15 listed for AM-WL50","FCC equipment authorization/test record, product scope and filing number",pending,n/a,n/a,Engineering,maybe,unapproved,"Public page asks buyers to request current device documentation"
