url,page_type,current_primary_intent,target_query_or_need,gsc_or_other_evidence,action,reason,title_or_snippet_hypothesis,content_evidence_gap,technical_issue,internal_link_sources,internal_link_targets,conversion_next_step,priority,owner,acceptance_test,review_at_days
"https://www.accumeasuretech.com","Homepage","Evaluate AccuMeasure and choose a level flow or pressure path","AccuMeasure industrial measurement instrument manufacturer","GSC 28d 24 impressions 1 click position 8.04; indexed; live analytics absent","KEEP","Already visible and technically healthy; measurement and proof are higher priority than a rewrite","Keep title; test one evidence-led proof/CTA only after measurement baseline","Factory team certificate and customer claims need approved asset IDs","None confirmed","/about|/products|/certificates|/quality","/products|/industries|/certificates|/case-studies|/contact","Choose category then RFQ; measure contact_click and qualified lead","P1","Marketing + SEO","No unsupported claim; one-variable test has 28d baseline and 30/60/90 review",30
"https://www.accumeasuretech.com/about","Trust page","Evaluate company identity capacity and service fit","AccuMeasure company factory engineering team","GSC 28d 95 impressions 2 clicks position 61.79; claim matrix C010 pending","UPDATE","The page gets clicks but its strongest company claims are not approved","Keep title until evidence is approved; then communicate verifiable company facts","Employee R&D QC facility and export claims need source and approval","None confirmed","/|/quality|/certificates","/quality|/certificates|/contact","Verify capability then contact sales","P1","Operations + Marketing","Every public quantified company claim maps to approved evidence or is weakened",30
"https://www.accumeasuretech.com/products","Product catalog","Browse level flow and pressure product families","industrial measurement instruments product catalog","GSC 28d 141 impressions 0 clicks position 61.45","KEEP","Catalog structure is valid; improve decision paths rather than create variants","Keep title; evaluate task-led snippet after query intent review","Category fit and certificate coverage need approved references","None confirmed","/|/industries","/products/level|/products/flow|/products/pressure|/contact","Select product family then RFQ","P2","Content + SEO","Category routes and decision labels are clear; 28d query/page review",60
"https://www.accumeasuretech.com/products/flow","Category page","Choose among electromagnetic ultrasonic and mass flow meters","explosion proof flow meter; non-contact flow meter; portable mass flow meter","GSC 28d 441 impressions 0 clicks position 64.59; indexed; current 7d 39 impressions position 46.44","UPDATE","Large low-rank exposure indicates query/product-fit work more than a snippet-only problem","Keep one category URL; test a truthful technology-boundary title only after product capability validation","ATEX model scope and portable/non-contact capability are not approved","None confirmed","/products|/industries|/resources","/products/am-emf100-electromagnetic-flow-meter|/products/am-uf200-ultrasonic-flow-meter|/products/am-mf50-mass-flow-meter|/compare/electromagnetic-vs-ultrasonic-flow-meter|/contact","Choose technology or send process conditions","P1","Content + Engineering + SEO","Every target query maps to a truthful capability; no duplicate thin URLs; 28/60d review",30
"https://www.accumeasuretech.com/products/level","Category page","Choose level measurement technology","radar ultrasonic capacitive and IoT level sensors","GSC 28d 83 impressions 0 clicks position 46.84","UPDATE","Commercial category has exposure but needs clearer task and evidence mapping","Keep title initially; test decision-led snippet after SERP review","Application images installation examples and certificate scope pending","None confirmed","/products|/industries","/products/am-rl80-80ghz-radar-level-transmitter|/products/am-ul20-ultrasonic-level-sensor|/products/am-cl100-capacitive-level-sensor|/blog/how-to-choose-radar-level-sensor|/contact","Choose technology then request quote","P2","Content + Engineering","Decision table is factual; contextual guide link exists; 28/60d review",60
"https://www.accumeasuretech.com/products/pressure","Category page","Choose pressure transmitter or digital gauge","industrial pressure transmitter and digital pressure gauge","GSC 28d 73 impressions 1 click position 60.73","KEEP","The page has some response; verify query/product fit before rewriting","Keep title; test only after ex-certified query scope is verified","Ex certification scope and calibration evidence pending","None confirmed","/products|/industries","/products/am-pt300-pressure-transmitter|/products/am-pg200-digital-pressure-gauge|/blog/pressure-transmitter-selection-guide|/contact","Choose product then RFQ","P2","Content + Engineering","No unsupported Ex claim; guide/product paths are clear; 28/60d review",60
"https://www.accumeasuretech.com/products/am-cl100-capacitive-level-sensor","Product detail","Evaluate AM-CL100 fit and specifications","capacitive level sensor for liquids and solids","No material 28d page row; build/schema CI passed","KEEP","Valid product URL with no evidence for a major rewrite","Keep product/model title","Field installation examples and approved product imagery pending","None confirmed","/products/level|/compare/capacitive-vs-ultrasonic-level-sensor","/compare/capacitive-vs-ultrasonic-level-sensor|/contact","Send medium range connection and output requirements","P3","Product + Content","Specifications match approved product source; RFQ context retained",60
"https://www.accumeasuretech.com/products/am-rl80-80ghz-radar-level-transmitter","Product detail","Evaluate 80GHz radar for tank level and hazardous areas","AM-RL80 80GHz radar level transmitter","GSC 28d 29 impressions 1 click position 32.07; indexed signals available through category; claim C001 pending","UPDATE","Core product has demand but ATEX/IECEx scope and installation proof are not approved","Keep model-led title; after evidence test a specific application/verification snippet","ATEX IECEx scan scope installation drawing and real configuration evidence pending","None confirmed","/products/level|/blog/how-to-choose-radar-level-sensor|/applications/radar-level-sensor-for-oil-tank","/certificates|/applications/radar-level-sensor-for-oil-tank|/case-studies/saudi-water-radar-level|/contact","Submit tank dimensions medium temperature and certification need","P1","Engineering + Marketing","Certificate scope approved or claim weakened; installation inputs and RFQ source verified",30
"https://www.accumeasuretech.com/products/am-ul20-ultrasonic-level-sensor","Product detail","Evaluate ultrasonic level measurement fit","AM-UL20 ultrasonic level sensor","No material 28d page row; build/schema CI passed","KEEP","No demand evidence for a standalone refresh","Keep product/model title","Real installation limitations and approved images pending","None confirmed","/products/level|/applications/radar-vs-ultrasonic-level-sensor","/applications/radar-vs-ultrasonic-level-sensor|/contact","Send range medium and obstruction details","P3","Product + Content","Visible specs and limitations match approved product facts",60
"https://www.accumeasuretech.com/products/am-wl50-iot-wifi-level-sensor","Product detail","Evaluate remote Wi-Fi level monitoring","AM-WL50 IoT Wi-Fi level sensor","No material 28d page row; FCC claim C014 pending","KEEP","Do not expand promotion before connectivity and FCC evidence are approved","Keep product/model title","FCC filing connectivity security and deployment evidence pending","None confirmed","/products/level|/certificates","/certificates|/contact","Request deployment and network compatibility review","P2","Engineering + Marketing","FCC statement is approved or clearly request-only; no unsupported security claim",60
