query_id,locale,family,intent,variant_id,query,expected_landing_page,priority
AM-D-001,en-US,level,discovery,v1,80GHz radar level transmitter manufacturer for industrial tank inventory,/products/level,high
AM-D-002,en-US,level,discovery,v1,capacitive level sensor supplier for chemical and water storage,/products/am-cl100-capacitive-level-sensor,high
AM-D-003,en-US,flow,discovery,v1,electromagnetic flow meter manufacturer for water utility projects,/products/am-emf100-electromagnetic-flow-meter,high
AM-D-004,en-US,flow,discovery,v1,clamp-on ultrasonic flow meter supplier for process pipe retrofit,/products/am-uf200-ultrasonic-flow-meter,high
AM-D-005,en-US,pressure,discovery,v1,piezoresistive pressure transmitter manufacturer for industrial equipment,/products/am-pt300-pressure-transmitter,high
AM-D-006,en-US,pressure,discovery,v1,battery powered digital pressure gauge manufacturer for private label,/products/am-pg200-digital-pressure-gauge,high
AM-D-007,en-US,iot,discovery,v1,IoT WiFi tank level sensor manufacturer for remote monitoring,/products/am-wl50-iot-wifi-level-sensor,high
AM-D-008,en-US,flow,discovery,v1,thermal mass flow meter supplier for gas and laboratory systems,/products/am-mf50-mass-flow-meter,medium
AM-C-001,en-US,level,comparison,v1,80GHz vs 26GHz radar level transmitter for storage tanks,/blog/80ghz-vs-26ghz-radar-level-sensor,high
AM-C-002,en-US,level,comparison,v1,capacitive vs ultrasonic level sensor for industrial tanks,/compare/capacitive-vs-ultrasonic-level-sensor,high
AM-C-003,en-US,level,comparison,v1,radar vs ultrasonic level sensor for water treatment tanks,/applications/radar-vs-ultrasonic-level-sensor,high
AM-C-004,en-GB,flow,comparison,v1,electromagnetic vs ultrasonic flow meter for water treatment projects,/compare/electromagnetic-vs-ultrasonic-flow-meter,high
AM-C-005,en-US,flow,comparison,v1,clamp-on ultrasonic vs electromagnetic flow meter for retrofit,/compare/electromagnetic-vs-ultrasonic-flow-meter,medium
AM-C-006,en-US,pressure,comparison,v1,piezoresistive pressure transmitter vs digital gauge for OEM panels,/products/pressure,medium
AM-C-007,en-US,pressure,comparison,v1,digital pressure gauge vs analog gauge for industrial panels,/products/am-pg200-digital-pressure-gauge,medium
AM-C-008,en-US,flow,comparison,v1,thermal mass flow meter vs orifice plate for gas flow,/products/am-mf50-mass-flow-meter,medium
AM-P-001,en-US,level,purchase,v1,level sensor wholesale supplier with low MOQ,/products/level,high
AM-P-002,en-US,level,purchase,v1,radar level transmitter factory direct price from China,/products/am-rl80-80ghz-radar-level-transmitter,high
AM-P-003,en-US,flow,purchase,v1,electromagnetic flow meter bulk order for water project,/products/am-emf100-electromagnetic-flow-meter,high
AM-P-004,en-US,level,purchase,v1,ultrasonic level sensor sample order for evaluation,/products/am-ul20-ultrasonic-level-sensor,high
AM-P-005,en-US,pressure,purchase,v1,pressure transmitter OEM order with private label,/products/pressure,high
AM-P-006,en-US,pressure,purchase,v1,digital pressure gauge wholesale with custom branding,/products/am-pg200-digital-pressure-gauge,high
AM-P-007,en-US,iot,purchase,v1,IoT level sensor bulk purchase for remote tank monitoring,/products/am-wl50-iot-wifi-level-sensor,medium
AM-P-008,en-US,oem,purchase,v1,industrial measurement instrument procurement quote for process plant,/contact,high
AM-A-001,en-US,level,application,v1,radar level sensor for crude oil storage tanks,/applications/radar-level-sensor-for-oil-tank,high
AM-A-002,en-US,level,application,v1,ultrasonic level sensor for water treatment tanks,/products/am-ul20-ultrasonic-level-sensor,high
AM-A-003,en-US,flow,application,v1,electromagnetic flow meter for wastewater treatment plant,/applications/electromagnetic-flow-meter-for-water-treatment,high
AM-A-004,en-US,flow,application,v1,clamp-on ultrasonic flow meter for existing water pipes,/products/am-uf200-ultrasonic-flow-meter,high
AM-A-005,en-US,pressure,application,v1,pressure transmitter for hydraulic systems,/products/am-pt300-pressure-transmitter,high
AM-A-006,en-US,level,application,v1,level sensor for chemical reactor tanks,/products/am-cl100-capacitive-level-sensor,high
AM-A-007,en-US,iot,application,v1,IoT level sensor for remote water tank monitoring,/products/am-wl50-iot-wifi-level-sensor,medium
AM-A-008,en-US,flow,application,v1,thermal mass flow meter for specialty gas measurement,/products/am-mf50-mass-flow-meter,medium
AM-A-009,en-US,level,application,v1,radar level sensor for silo solids measurement,/products/am-rl80-80ghz-radar-level-transmitter,high
AM-A-010,en-US,pressure,application,v1,digital pressure gauge for OEM air compressor panels,/products/am-pg200-digital-pressure-gauge,medium
AM-F-001,en-US,level,faq,v1,what should buyers check before importing radar level transmitters,/blog/how-to-choose-radar-level-sensor,high
AM-F-002,en-US,level,faq,v1,what is the MOQ for AccuMeasure level sensors,/contact,high
AM-F-003,en-US,flow,faq,v1,how long is the lead time for custom flow meters,/contact,high
AM-F-004,en-US,oem,faq,v1,do AccuMeasure products include calibration certificates,/quality,high
AM-F-005,en-US,oem,faq,v1,what payment terms do Chinese instrument manufacturers accept,/contact,high
AM-F-006,en-US,level,faq,v1,can ultrasonic level sensors measure chemical tanks,/products/am-ul20-ultrasonic-level-sensor,high
